Date,history1,history2,history3,history4
2016-01-10,10764.7906,11528.52553,11073.14074,11060.86372
2016-01-11,10783.30641,11527.69686,11082.00236,11069.36211
2016-01-12,10902.1574,11518.33632,10977.98061,10965.11847
2016-01-13,10969.00058,11473.04462,11093.57246,11081.02524
2016-01-14,11077.48885,11552.05557,11088.28531,11075.69222
2016-01-15,11103.47539,11481.84013,11155.19124,11142.62472
2016-01-16,11032.74457,11384.5946,11166.29072,11153.82731
2016-01-17,11066.48418,11327.56604,11247.03719,11234.77488
2016-01-18,11131.87463,11319.98439,11146.9688,11134.86969
2016-01-19,11215.72602,11307.12406,11211.68053,11199.64436
2016-01-20,11201.68254,11194.948,11098.97236,11086.93417
2016-01-21,11255.9246,11145.98006,11118.07781,11105.99908
2016-01-22,11312.4083,11128.71068,11239.60871,11227.34034
2016-01-23,11447.86007,11050.89289,11308.31242,11296.0131
2016-01-24,11561.04542,11176.76275,11421.36071,11410.2821
2016-01-25,11578.24186,11215.33597,11447.93725,11436.91974
2016-01-26,11558.4774,11123.56753,11375.31046,11364.31321
2016-01-27,11521.87203,10905.38015,11409.73994,11398.84015
2016-01-28,11567.81177,10899.30971,11477.06343,11466.22888
2016-01-29,11545.86116,10684.76787,11563.61545,11552.78534
2016-01-30,11535.66369,10735.62946,11548.64736,11537.61652
2016-01-31,11561.93558,10849.02807,11604.74692,11593.66381
2016-02-01,11504.11285,10943.07542,11662.87978,11651.90511
2016-02-02,11519.1019,10880.97416,11802.48917,11791.88336
2016-02-03,11528.538,10974.13062,11917.77784,11907.83031
2016-02-04,11515.17673,10949.79583,11935.59948,11925.69285
2016-02-05,11509.49848,10903.99303,11915.58064,11905.54751
2016-02-06,11509.3231,10906.59269,11877.66073,11867.71816
2016-02-07,11544.53294,10889.9393,11925.26049,11915.52039
2016-02-08,11657.6471,10916.65167,11902.50108,11892.84168
2016-02-09,11809.76342,10778.34556,11892.75141,11882.96182
2016-02-10,11796.23634,10527.54572,11919.98142,11910.05326
2016-02-11,11702.80923,10545.41176,11860.80718,11850.68099
2016-02-12,11476.06149,10622.78416,11876.37677,11866.23259
2016-02-13,11611.05983,10614.64103,11886.26794,11876.18741
2016-02-14,11561.96883,10754.0878,11872.51619,11862.46702
2016-02-15,11665.53729,10831.36794,11866.44611,11856.53698
2016-02-16,11814.89644,10905.34986,11866.15658,11856.38528
2016-02-17,11753.71222,10863.4051,11902.42817,11892.52605
2016-02-18,11731.83047,10949.37702,12018.91224,12008.97372
2016-02-19,11753.57958,10876.50562,12175.06194,12165.24019
2016-02-20,12056.65224,10837.43261,12161.22535,12151.56357
2016-02-21,12174.03217,10757.49524,12065.1372,12055.46736
2016-02-22,12061.787,10822.96295,11832.14407,11822.36535
2016-02-23,12000.21619,10853.67748,11970.53079,11960.87617
2016-02-24,12103.35043,10818.56628,11919.50002,11910.08794
2016-02-25,12150.33993,10727.51026,12025.97699,12016.34145
2016-02-26,11981.54527,10747.90736,12178.93982,12169.03159
2016-02-27,12032.22699,10773.1113,12115.71555,12106.14344
2016-02-28,12010.36616,10732.84762,12093.48615,12083.92006
2016-02-29,11994.23793,10722.33588,12116.79543,12107.09557
2016-03-01,12058.62291,10689.98995,12429.33371,12419.63309
2016-03-02,12057.97272,10769.24894,12549.72353,12540.40689
2016-03-03,12018.75414,10850.39315,12434.89884,12425.23697
2016-03-04,12128.46104,10996.86606,12371.91738,12361.97358
2016-03-05,12015.27971,11089.35116,12478.09818,12468.09202
2016-03-06,12015.31289,11108.1202,12526.22344,12516.31472
2016-03-07,12005.25792,11178.73145,12352.75114,12342.31028
2016-03-08,11998.37509,11271.9372,12404.71108,12394.33897
2016-03-09,11996.65964,11253.01999,12382.31266,12371.88567
2016-03-10,12052.03951,11260.1629,12365.5764,12355.13774
2016-03-11,12051.7197,11254.89826,12431.66967,12421.34176
2016-03-12,12041.71436,11263.67788,12431.00993,12420.64454
